gene_symbol	missing_fields	route	safety_gate	recommended_action
GLYR1P1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GM140	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GM2A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMCL1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMCL1P1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMDS	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMDS-DT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMEB1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMEB2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMFB	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMFG	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMIP	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GML	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMNC	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMNN	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMPPA	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMPPB	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMPR	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMPR2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMPS	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GMPSP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNA11	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNA12	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNA13	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNA14	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNA15	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNA15-DT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNAI1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNAI2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNAI3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNAL	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNAO1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNAQ	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNAS	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNAS-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNAT1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNAT2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNAZ	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNB1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNB1-DT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNB1L	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNB2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNB3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNB4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNB5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNE	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG11	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG12	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG12-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG13	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG14	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG5B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNG8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNGT1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNGT2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNL1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNL2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNL3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNL3L	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNLY	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNMT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNPAT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNPDA1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNPDA2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNPNAT1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNPTAB	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNPTG	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNRH1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNRH2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNRHR	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNRHR2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNRHR2P1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GNS	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA2P10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA2P11	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA2P5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA2P7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA2P9	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA4-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA6A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA6C	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA6L10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA6L2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA6L3P	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA6L4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA6L9	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA7B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA8A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA8B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA8H	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA8K	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA8M	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA8N	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA8O	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA8Q	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA8R	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGA8T	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLGB1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLIM4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLM1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLM2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLPH3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLPH3L	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLT1A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOLT1B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GON4L	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GON7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOPC	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GORAB	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GORAB-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GORASP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GORASP2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOSR1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOSR2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOSR2-DT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOT1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOT1-DT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOT1L1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOT2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOT2P3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GOT2P6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GP1BA	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GP2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GP5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GP6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GP9	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPA33	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPAA1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPALPP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPAM	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPANK1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPAT2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPAT2P2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPAT3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPAT4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPATCH1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPATCH11	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPATCH2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPATCH2L	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPATCH3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPATCH4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPATCH8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPBAR1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPBP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPBP1L1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPC1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPC2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPC3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPC4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPC5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPC6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPCPD1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPD1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPD1L	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPD2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPER1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPHA2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPHB5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPHN	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPHRA	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPHRB	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPI	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPIHBP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPKOW	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPLD1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPM6A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPM6B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPN1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPN2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPN3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPNMB	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR101	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR107	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR108	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR119	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR12	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR132	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR135	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR137	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR137B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR137C	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR139	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR141	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR142	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR143	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR146	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR148	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR149	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR15	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR150	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR151	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR152	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR153	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR155	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR156	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR157	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR158	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR160	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR161	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR162	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR17	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR171	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR173	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR174	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR176	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR179	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR18	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR180	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR182	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR183	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR19	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR199P	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR20	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR21	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR22	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR25	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR26	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR27	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR31	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR32	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR34	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR35	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR37	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR37L1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR39	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR45	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR50	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR52	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR55	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR61	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR62	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR63	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR65	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR68	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR75	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR75-ASB3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR78	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR82	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR83	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR84	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR85	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR87	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPR88	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPRASP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPRASP2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPRC5A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPRC5B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPRC5C	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPRC5D	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPRC5D-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPRC6A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPRIN1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPRIN2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPRIN3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPS2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPS2P1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPSM1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPSM2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPSM3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPT	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPT2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPX1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPX2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPX3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPX4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPX5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPX6	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPX7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GPX8	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRAMD1A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRAMD1B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRAMD1C	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRAMD2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRAMD2A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRAMD2B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRAMD3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRAMD4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRAP	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRAP2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRAPL	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRASP	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRB10	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRB14	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRB2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRB7	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GREB1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GREB1L	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GREM1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GREM2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRHL1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRHL2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRHL3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRHPR	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIA1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIA2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIA3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIA4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRID1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRID2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRID2IP	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIK1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIK1-AS1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIK1-AS2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIK2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIK3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIK4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIK5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIN1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIN2A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIN2B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIN2C	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIN2D	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIN3A	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIN3B	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRINA	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIP2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRIPAP1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRK1	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRK2	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRK3	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRK4	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
GRK5	accessibility,safety	unknown	UNKNOWN	manual curation before interpreting candidate rank
